,:ID;author:string
839,8961813;Andrew Sixsmith
840,8961814;Charalampos Doukas
841,8961815;Thomas Pliakas
842,8961816;Ilias Maglogiannis
843,8961817;Michael Huch
844,8961818;José Javier Yanguas
845,8961819;Elena Urdaneta
846,8961820;Michael John
847,8961821;Stefan Klose
848,8961822;Beate Seewald
849,8961823;Tom Chau
850,8961824;Negar Memarian
851,8961825;Brian Leung
852,8961826;Deborah Treherne
853,8961827;David A. Hobbs
854,8961828;Breanna Worthington-Eyre
855,8961829;Andrea Lamont
856,8961830;Michele Pla-Mobarak
857,8961831;Ellen Yi-Luen Do
858,8961832;Brian D. Jones
859,8961833;Jean Roberts
860,8961834;Amritpal Singh Bhachu
861,8961835;Nicolas Hine
862,8961836;Ryan Woolrych
863,8961837;Reiner Wichert
864,8961838;Mohammad-Reza Tazari
865,8961839;Francesco Furfari
866,8961840;Álvaro Fides-Valero
867,8961841;Sten Hanke
868,8961842;Oliver Höftberger
869,8961843;Dionisis D. Kehagias
870,8961844;Miran Mosmondor
871,8961845;Peter Wolf
872,8961846;Elizabeth Mestheneos
873,8961847;Juan Carlos Augusto
874,8961848;Michael Obach
875,8961849;Pierre Barralon
876,8961850;Enrique León
877,8961851;Leire Martínez
878,8961852;Javier Arcas
879,8961853;Igone Idígoras
